profile_target,level,type,land_area,building_area,bedrooms,bathrooms,floors,HOSPITAL,SCHOOL,MARKET,MALL,TRANSPORT,facilities,predicted_persona,matching_score
Individu Lajang,50%,apartemen,0,121,2,3,2,0,1,0,1,1,"AC,REFRIGERATOR",Individu Lajang,3.1987
Individu Lajang,100%,apartemen,0,54,1,1,1,1,1,1,1,1,"AC,STOVE,REFRIGERATOR,PAM",Individu Lajang,3.8387
Individu Lajang,100%,apartemen,0,66,1,1,1,1,1,1,1,1,"AC,STOVE,REFRIGERATOR,PAM",Individu Lajang,3.8387
Individu Lajang,100%,apartemen,0,58,1,1,1,1,1,1,1,1,"AC,STOVE,REFRIGERATOR,PAM",Individu Lajang,3.8387
Individu Lajang,50%,apartemen,0,102,2,2,2,1,1,0,1,1,"AC,CARPORT",Individu Lajang,3.4196
Individu Lajang,100%,apartemen,0,47,1,1,1,1,1,1,1,1,"AC,STOVE,REFRIGERATOR,PAM",Individu Lajang,3.8387
Individu Lajang,50%,apartemen,0,117,2,3,2,0,1,1,1,1,"AC,STOVE",Individu Lajang,3.2787
Individu Lajang,50%,apartemen,0,122,2,3,3,0,1,0,1,1,"AC,STOVE",Individu Lajang,3.092
Individu Lajang,50%,apartemen,0,103,2,3,3,0,1,0,1,1,"AC,STOVE",Individu Lajang,3.092
Individu Lajang,100%,apartemen,0,65,1,1,1,1,1,1,1,1,"AC,STOVE,REFRIGERATOR,PAM",Individu Lajang,3.8387
Individu Lajang,25%,apartemen,0,168,3,4,2,0,0,0,0,0,"GARASI,GARDEN",Pasangan Bekerja dengan Anak,2.78
Individu Lajang,25%,apartemen,0,156,4,2,2,0,0,0,0,0,"GARASI,GARDEN",Pasangan Bekerja dengan Anak,2.94
Individu Lajang,100%,apartemen,0,49,1,1,1,1,1,1,1,1,"AC,STOVE,REFRIGERATOR,PAM",Individu Lajang,3.8387
Individu Lajang,50%,apartemen,0,122,3,3,2,1,1,0,1,1,"AC,STOVE",Pasangan Bekerja dengan Anak,3.3
Individu Lajang,50%,apartemen,0,139,2,3,2,1,1,0,1,1,"AC,STOVE",Individu Lajang,3.2787
Individu Lajang,50%,apartemen,0,121,2,3,2,0,1,0,1,1,"AC,CARPORT",Individu Lajang,3.233
Individu Lajang,50%,apartemen,0,107,3,2,3,1,1,1,1,1,"AC,REFRIGERATOR",Pasangan Bekerja dengan Anak,3.22
Individu Lajang,25%,apartemen,0,189,5,3,3,0,0,0,0,0,"GARASI,MICROWAVE",Pasangan Bekerja dengan Anak,2.46
Individu Lajang,100%,apartemen,0,51,1,1,1,1,1,1,1,1,"AC,STOVE,REFRIGERATOR,PAM",Individu Lajang,3.8387
Individu Lajang,50%,apartemen,0,104,2,3,2,1,1,0,1,1,"AC,STOVE",Individu Lajang,3.2787
Individu Lajang,25%,apartemen,0,162,5,3,3,0,0,0,0,0,"GARASI,GARDEN",Pasangan Bekerja dengan Anak,2.46
Individu Lajang,25%,apartemen,0,180,4,3,2,0,0,0,0,0,"GARASI,MICROWAVE",Pasangan Bekerja dengan Anak,2.78
Individu Lajang,100%,apartemen,0,55,1,1,1,1,1,1,1,1,"AC,STOVE,REFRIGERATOR,PAM",Individu Lajang,3.8387
Individu Lajang,50%,apartemen,0,102,2,3,3,0,1,0,1,1,"AC,CARPORT",Individu Lajang,3.1263
Individu Lajang,50%,apartemen,0,106,3,2,2,1,1,1,1,1,"AC,CARPORT",Pasangan Bekerja dengan Anak,3.54
Individu Lajang,25%,apartemen,0,177,4,4,4,0,0,0,0,0,"GARASI,GARDEN",Pasangan Bekerja dengan Anak,2.46
Individu Lajang,50%,apartemen,0,148,3,2,3,0,1,0,1,1,"AC,REFRIGERATOR",Pasangan Bekerja dengan Anak,2.96
Individu Lajang,100%,apartemen,0,60,1,1,1,1,1,1,1,1,"AC,STOVE,REFRIGERATOR,PAM",Individu Lajang,3.8387
Individu Lajang,50%,apartemen,0,132,3,3,3,1,1,0,1,1,"AC,STOVE",Pasangan Bekerja dengan Anak,2.98
Individu Lajang,25%,apartemen,0,185,5,3,3,0,0,0,0,0,"GARASI,OVEN",Pasangan Bekerja dengan Anak,2.46
Individu Lajang,75%,apartemen,0,86,2,1,1,1,1,1,1,1,"AC,STOVE,REFRIGERATOR,PAM",Individu Lajang,3.3053
Individu Lajang,100%,apartemen,0,49,1,1,1,1,1,1,1,1,"AC,STOVE,REFRIGERATOR,PAM",Individu Lajang,3.8387
Individu Lajang,50%,apartemen,0,136,3,3,2,1,1,0,1,1,"AC,OVEN",Pasangan Bekerja dengan Anak,3.3
Individu Lajang,75%,apartemen,0,85,1,2,2,1,1,1,1,1,"AC,STOVE,REFRIGERATOR,PAM",Individu Lajang,3.9987
Individu Lajang,50%,apartemen,0,122,2,3,3,1,1,0,1,1,"AC,STOVE",Individu Lajang,3.172
Individu Lajang,25%,apartemen,0,161,5,2,3,0,0,0,0,0,"GARASI,OVEN",Pasangan Bekerja dengan Anak,2.62
Individu Lajang,100%,apartemen,0,71,1,1,1,1,1,1,1,1,"AC,STOVE,REFRIGERATOR,PAM",Individu Lajang,3.8387
Individu Lajang,25%,apartemen,0,183,3,4,3,0,0,0,0,0,"GARASI,MICROWAVE",Pasangan Bekerja dengan Anak,2.46
Individu Lajang,75%,apartemen,0,75,1,2,1,1,1,1,1,1,"AC,STOVE,REFRIGERATOR,PAM",Individu Lajang,3.892
Individu Lajang,25%,apartemen,0,185,3,3,3,0,0,0,0,0,"GARASI,GARDEN",Pasangan Bekerja dengan Anak,2.46
Individu Lajang,50%,apartemen,0,141,2,3,2,1,1,0,1,1,"AC,REFRIGERATOR",Individu Lajang,3.2787
Individu Lajang,100%,apartemen,0,61,1,1,1,1,1,1,1,1,"AC,STOVE,REFRIGERATOR,PAM",Individu Lajang,3.8387
Individu Lajang,75%,apartemen,0,86,1,1,1,1,1,1,1,1,"AC,STOVE,REFRIGERATOR,GARDEN",Individu Lajang,3.8196
Individu Lajang,100%,apartemen,0,58,1,1,1,1,1,1,1,1,"AC,STOVE,REFRIGERATOR,PAM",Individu Lajang,3.8387
Individu Lajang,75%,apartemen,0,89,1,1,1,1,1,1,1,1,"AC,STOVE,REFRIGERATOR,PAM",Individu Lajang,3.7853
Individu Lajang,50%,apartemen,0,106,3,3,2,0,1,1,1,1,"AC,OVEN",Pasangan Bekerja dengan Anak,3.2
Individu Lajang,75%,apartemen,0,98,1,1,2,1,1,1,1,1,"AC,STOVE,REFRIGERATOR,GARDEN",Individu Lajang,3.9263
Individu Lajang,75%,apartemen,0,98,1,1,1,1,1,1,1,1,"AC,STOVE,REFRIGERATOR,GARDEN",Individu Lajang,3.8196
Individu Lajang,50%,apartemen,0,142,3,2,2,1,1,1,1,1,"AC,REFRIGERATOR",Pasangan Bekerja dengan Anak,3.54
Individu Lajang,100%,apartemen,0,47,1,1,1,1,1,1,1,1,"AC,STOVE,REFRIGERATOR,PAM",Individu Lajang,3.8387
Individu Lajang,100%,apartemen,0,51,1,1,1,1,1,1,1,1,"AC,STOVE,REFRIGERATOR,PAM",Individu Lajang,3.8387
Individu Lajang,75%,apartemen,0,79,1,1,1,1,1,1,1,1,"AC,STOVE,REFRIGERATOR,PAM",Individu Lajang,3.7853
Individu Lajang,75%,apartemen,0,97,2,1,1,1,1,1,1,1,"AC,STOVE,REFRIGERATOR,PAM",Individu Lajang,3.3053
Individu Lajang,25%,apartemen,0,199,3,2,4,0,0,0,0,0,"GARASI,GARDEN",Pasangan Bekerja dengan Anak,2.62
Individu Lajang,100%,apartemen,0,43,1,1,1,1,1,1,1,1,"AC,STOVE,REFRIGERATOR,PAM",Individu Lajang,3.8387
Individu Lajang,100%,apartemen,0,69,1,1,1,1,1,1,1,1,"AC,STOVE,REFRIGERATOR,PAM",Individu Lajang,3.8387
Individu Lajang,75%,apartemen,0,78,1,2,1,1,1,1,1,1,"AC,STOVE,REFRIGERATOR,GARDEN",Individu Lajang,3.9263
Individu Lajang,25%,apartemen,0,154,5,3,2,0,0,0,0,0,"GARASI,OVEN",Pasangan Bekerja dengan Anak,2.78
Individu Lajang,100%,apartemen,0,63,1,1,1,1,1,1,1,1,"AC,STOVE,REFRIGERATOR,PAM",Individu Lajang,3.8387
Individu Lajang,50%,apartemen,0,122,2,2,3,0,1,1,1,1,"AC,STOVE",Individu Lajang,3.2787
Individu Lajang,50%,apartemen,0,141,2,3,2,0,1,1,1,1,"AC,STOVE",Individu Lajang,3.2787
Individu Lajang,100%,apartemen,0,61,1,1,1,1,1,1,1,1,"AC,STOVE,REFRIGERATOR,PAM",Individu Lajang,3.8387
Individu Lajang,75%,apartemen,0,77,1,2,1,1,1,1,1,1,"AC,STOVE,REFRIGERATOR,PAM",Individu Lajang,3.892
Individu Lajang,100%,apartemen,0,62,1,1,1,1,1,1,1,1,"AC,STOVE,REFRIGERATOR,PAM",Individu Lajang,3.8387
Individu Lajang,75%,apartemen,0,73,2,2,1,1,1,1,1,1,"AC,STOVE,REFRIGERATOR,PAM",Individu Lajang,3.412
Individu Lajang,50%,apartemen,0,122,2,3,3,0,1,1,1,1,"AC,STOVE",Individu Lajang,3.172
Individu Lajang,100%,apartemen,0,57,1,1,1,1,1,1,1,1,"AC,STOVE,REFRIGERATOR,PAM",Individu Lajang,3.8387
Individu Lajang,50%,apartemen,0,115,2,2,3,0,1,0,1,1,"AC,CARPORT",Individu Lajang,3.233
Individu Lajang,50%,apartemen,0,123,3,3,2,0,1,0,1,1,"AC,REFRIGERATOR",Pasangan Bekerja dengan Anak,3.12
Individu Lajang,75%,apartemen,0,80,2,2,1,1,1,1,1,1,"AC,STOVE,REFRIGERATOR,PAM",Individu Lajang,3.412
Pasangan Bekerja tanpa Anak,25%,rumah,63,56,1,1,1,0,0,0,0,0,,Individu Lajang,3.0947
Pasangan Bekerja tanpa Anak,100%,rumah,167,167,2,2,2,1,1,1,1,1,"AC,CARPORT,GARASI,OVEN,STOVE,REFRIGERATOR,PAM",Pasangan Bekerja dengan Anak,4.18
Pasangan Bekerja tanpa Anak,25%,apartemen,64,65,1,1,1,0,0,0,0,0,,Individu Lajang,3.2387
Pasangan Bekerja tanpa Anak,50%,rumah,94,105,2,1,1,0,1,0,1,0,"AC,STOVE",Pasangan Bekerja dengan Anak,3.12
Pasangan Bekerja tanpa Anak,75%,rumah,131,133,2,2,2,1,1,1,1,1,"AC,CARPORT,GARASI,PAM",Pasangan Bekerja tanpa Anak,4.1
Pasangan Bekerja tanpa Anak,25%,rumah,63,87,1,1,1,0,0,0,0,0,,Individu Lajang,3.0413
Pasangan Bekerja tanpa Anak,25%,apartemen,72,86,1,1,1,0,0,0,0,0,,Individu Lajang,3.1853
Pasangan Bekerja tanpa Anak,25%,apartemen,77,80,1,1,1,0,0,0,0,0,,Individu Lajang,3.1853
Pasangan Bekerja tanpa Anak,25%,rumah,59,75,1,1,1,0,0,0,0,0,,Individu Lajang,3.0413
Pasangan Bekerja tanpa Anak,75%,apartemen,126,126,3,2,2,1,1,1,1,1,"AC,CARPORT,GARASI,PAM",Pasangan Bekerja tanpa Anak,3.764
Pasangan Bekerja tanpa Anak,25%,apartemen,67,71,1,1,1,0,0,0,0,0,,Individu Lajang,3.2387
Pasangan Bekerja tanpa Anak,100%,rumah,192,179,2,2,2,1,1,1,1,1,"AC,CARPORT,GARASI,OVEN,STOVE,REFRIGERATOR,PAM",Pasangan Bekerja dengan Anak,4.18
Pasangan Bekerja tanpa Anak,50%,rumah,109,108,2,1,1,0,1,0,1,0,"AC,REFRIGERATOR",Pasangan Bekerja dengan Anak,3.2
Pasangan Bekerja tanpa Anak,50%,rumah,118,101,2,1,1,0,1,0,1,0,"AC,STOVE",Pasangan Bekerja dengan Anak,3.2
Pasangan Bekerja tanpa Anak,25%,apartemen,51,84,1,1,1,0,0,0,0,0,,Individu Lajang,3.1853
Pasangan Bekerja tanpa Anak,50%,apartemen,95,92,2,1,1,1,1,0,1,0,"AC,REFRIGERATOR",Pasangan Bekerja tanpa Anak,3.184
Pasangan Bekerja tanpa Anak,25%,rumah,83,66,1,1,1,0,0,0,0,0,,Individu Lajang,3.0947
Pasangan Bekerja tanpa Anak,50%,apartemen,114,116,2,1,1,0,1,0,1,0,"AC,REFRIGERATOR",Pasangan Bekerja tanpa Anak,3.004
Pasangan Bekerja tanpa Anak,100%,rumah,188,195,2,2,2,1,1,1,1,1,"AC,CARPORT,GARASI,OVEN,STOVE,REFRIGERATOR,PAM",Pasangan Bekerja dengan Anak,4.18
Pasangan Bekerja tanpa Anak,50%,rumah,105,118,2,1,1,0,1,0,1,0,"AC,REFRIGERATOR",Pasangan Bekerja dengan Anak,3.2
Pasangan Bekerja tanpa Anak,100%,rumah,174,199,2,2,2,1,1,1,1,1,"AC,CARPORT,GARASI,OVEN,STOVE,REFRIGERATOR,PAM",Pasangan Bekerja dengan Anak,4.18
Pasangan Bekerja tanpa Anak,25%,rumah,86,64,1,1,1,0,0,0,0,0,,Individu Lajang,3.0947
Pasangan Bekerja tanpa Anak,75%,apartemen,124,146,3,2,2,1,1,1,1,1,"AC,CARPORT,GARASI,REFRIGERATOR",Pasangan Bekerja tanpa Anak,3.764
Pasangan Bekerja tanpa Anak,25%,rumah,62,82,1,1,1,0,0,0,0,0,,Individu Lajang,3.0413
Pasangan Bekerja tanpa Anak,50%,apartemen,94,96,2,1,1,1,1,0,1,0,"AC,REFRIGERATOR",Pasangan Bekerja tanpa Anak,3.184
Pasangan Bekerja tanpa Anak,50%,rumah,104,100,2,1,1,1,1,0,1,0,"AC,REFRIGERATOR",Pasangan Bekerja dengan Anak,3.38
Pasangan Bekerja tanpa Anak,50%,apartemen,98,119,2,1,1,0,1,0,1,0,"AC,REFRIGERATOR",Pasangan Bekerja tanpa Anak,3.004
Pasangan Bekerja tanpa Anak,50%,apartemen,111,118,2,1,1,1,1,0,1,0,"AC,STOVE",Pasangan Bekerja tanpa Anak,3.184
Pasangan Bekerja tanpa Anak,50%,apartemen,106,96,2,1,1,1,1,0,1,0,"AC,REFRIGERATOR",Pasangan Bekerja tanpa Anak,3.184
Pasangan Bekerja tanpa Anak,75%,apartemen,149,122,3,2,2,1,1,1,1,1,"AC,CARPORT,GARASI,PAM",Pasangan Bekerja tanpa Anak,3.764
Pasangan Bekerja tanpa Anak,75%,rumah,132,143,3,2,2,1,1,1,1,1,"AC,CARPORT,GARASI,REFRIGERATOR",Pasangan Bekerja dengan Anak,4.18
Pasangan Bekerja tanpa Anak,25%,apartemen,69,75,1,1,1,0,0,0,0,0,,Individu Lajang,3.1853
Pasangan Bekerja tanpa Anak,50%,apartemen,94,106,2,1,1,1,1,0,1,0,"AC,REFRIGERATOR",Pasangan Bekerja tanpa Anak,3.184
Pasangan Bekerja tanpa Anak,75%,rumah,137,129,3,2,2,1,1,1,1,1,"AC,CARPORT,GARASI,STOVE",Pasangan Bekerja dengan Anak,4.18
Pasangan Bekerja tanpa Anak,100%,rumah,174,181,2,2,2,1,1,1,1,1,"AC,CARPORT,GARASI,OVEN,STOVE,REFRIGERATOR,PAM",Pasangan Bekerja dengan Anak,4.18
Pasangan Bekerja tanpa Anak,75%,apartemen,125,145,3,2,2,1,1,1,1,1,"AC,CARPORT,GARASI,STOVE",Pasangan Bekerja tanpa Anak,3.764
Pasangan Bekerja tanpa Anak,75%,apartemen,142,121,3,2,2,1,1,1,1,1,"AC,CARPORT,GARASI,REFRIGERATOR",Pasangan Bekerja tanpa Anak,3.764
Pasangan Bekerja tanpa Anak,100%,rumah,163,178,2,2,2,1,1,1,1,1,"AC,CARPORT,GARASI,OVEN,STOVE,REFRIGERATOR,PAM",Pasangan Bekerja dengan Anak,4.18
Pasangan Bekerja tanpa Anak,100%,rumah,166,184,2,2,2,1,1,1,1,1,"AC,CARPORT,GARASI,OVEN,STOVE,REFRIGERATOR,PAM",Pasangan Bekerja dengan Anak,4.18
Pasangan Bekerja tanpa Anak,50%,rumah,99,107,2,1,1,1,1,0,1,0,"AC,REFRIGERATOR",Pasangan Bekerja dengan Anak,3.3
Pasangan Bekerja tanpa Anak,100%,rumah,182,160,2,2,2,1,1,1,1,1,"AC,CARPORT,GARASI,OVEN,STOVE,REFRIGERATOR,PAM",Pasangan Bekerja dengan Anak,4.18
Pasangan Bekerja tanpa Anak,75%,rumah,134,127,3,2,2,1,1,1,1,1,"AC,CARPORT,GARASI,PAM",Pasangan Bekerja dengan Anak,4.18
Pasangan Bekerja tanpa Anak,75%,rumah,138,127,2,2,2,1,1,1,1,1,"AC,CARPORT,GARASI,REFRIGERATOR",Pasangan Bekerja tanpa Anak,4.1
Pasangan Bekerja tanpa Anak,25%,apartemen,70,87,1,1,1,0,0,0,0,0,,Individu Lajang,3.1853
Pasangan Bekerja tanpa Anak,100%,rumah,161,184,2,2,2,1,1,1,1,1,"AC,CARPORT,GARASI,OVEN,STOVE,REFRIGERATOR,PAM",Pasangan Bekerja dengan Anak,4.18
Pasangan Bekerja tanpa Anak,100%,rumah,194,192,2,2,2,1,1,1,1,1,"AC,CARPORT,GARASI,OVEN,STOVE,REFRIGERATOR,PAM",Pasangan Bekerja dengan Anak,4.18
Pasangan Bekerja tanpa Anak,75%,rumah,137,138,3,2,2,1,1,1,1,1,"AC,CARPORT,GARASI,STOVE",Pasangan Bekerja dengan Anak,4.18
Pasangan Bekerja tanpa Anak,75%,apartemen,142,124,2,2,2,1,1,1,1,1,"AC,CARPORT,GARASI,PAM",Pasangan Bekerja tanpa Anak,4.004
Pasangan Bekerja tanpa Anak,25%,apartemen,78,69,1,1,1,0,0,0,0,0,,Individu Lajang,3.2387
Pasangan Bekerja tanpa Anak,100%,rumah,158,186,2,2,2,1,1,1,1,1,"AC,CARPORT,GARASI,OVEN,STOVE,REFRIGERATOR,PAM",Pasangan Bekerja dengan Anak,4.18
Pasangan Bekerja tanpa Anak,25%,rumah,57,59,1,1,1,0,0,0,0,0,,Individu Lajang,3.0947
Pasangan Bekerja tanpa Anak,100%,rumah,200,167,2,2,2,1,1,1,1,1,"AC,CARPORT,GARASI,OVEN,STOVE,REFRIGERATOR,PAM",Pasangan Bekerja dengan Anak,4.18
Pasangan Bekerja tanpa Anak,25%,apartemen,61,83,1,1,1,0,0,0,0,0,,Individu Lajang,3.1853
Pasangan Bekerja tanpa Anak,100%,rumah,151,164,2,2,2,1,1,1,1,1,"AC,CARPORT,GARASI,OVEN,STOVE,REFRIGERATOR,PAM",Pasangan Bekerja dengan Anak,4.18
Pasangan Bekerja tanpa Anak,100%,rumah,172,177,2,2,2,1,1,1,1,1,"AC,CARPORT,GARASI,OVEN,STOVE,REFRIGERATOR,PAM",Pasangan Bekerja dengan Anak,4.18
Pasangan Bekerja tanpa Anak,25%,rumah,64,67,1,1,1,0,0,0,0,0,,Individu Lajang,3.0947
Pasangan Bekerja tanpa Anak,50%,rumah,115,97,2,1,1,0,1,0,1,0,"AC,STOVE",Pasangan Bekerja dengan Anak,3.2
Pasangan Bekerja tanpa Anak,75%,rumah,142,131,3,2,2,1,1,1,1,1,"AC,CARPORT,GARASI,STOVE",Pasangan Bekerja dengan Anak,4.18
Pasangan Bekerja tanpa Anak,50%,apartemen,97,111,2,1,1,0,1,0,1,0,"AC,REFRIGERATOR",Pasangan Bekerja tanpa Anak,3.004
Pasangan Bekerja tanpa Anak,25%,rumah,78,60,1,1,1,0,0,0,0,0,,Individu Lajang,3.0947
Pasangan Bekerja tanpa Anak,50%,apartemen,105,93,2,1,1,0,1,0,1,0,"AC,STOVE",Pasangan Bekerja tanpa Anak,3.004
Pasangan Bekerja tanpa Anak,50%,apartemen,109,109,2,1,1,0,1,0,1,0,"AC,REFRIGERATOR",Pasangan Bekerja tanpa Anak,3.004
Pasangan Bekerja tanpa Anak,75%,rumah,129,121,2,2,2,1,1,1,1,1,"AC,CARPORT,GARASI,REFRIGERATOR",Pasangan Bekerja tanpa Anak,4.1
Pasangan Bekerja tanpa Anak,100%,rumah,186,178,2,2,2,1,1,1,1,1,"AC,CARPORT,GARASI,OVEN,STOVE,REFRIGERATOR,PAM",Pasangan Bekerja dengan Anak,4.18
Pasangan Bekerja tanpa Anak,50%,apartemen,109,108,2,1,1,0,1,0,1,0,"AC,REFRIGERATOR",Pasangan Bekerja tanpa Anak,3.004
Pasangan Bekerja tanpa Anak,75%,apartemen,145,137,2,2,2,1,1,1,1,1,"AC,CARPORT,GARASI,STOVE",Pasangan Bekerja tanpa Anak,4.004
Pasangan Bekerja tanpa Anak,25%,apartemen,65,52,1,1,1,0,0,0,0,0,,Individu Lajang,3.2387
Pasangan Bekerja tanpa Anak,25%,apartemen,53,82,1,1,1,0,0,0,0,0,,Individu Lajang,3.1853
Pasangan Bekerja tanpa Anak,100%,rumah,153,187,2,2,2,1,1,1,1,1,"AC,CARPORT,GARASI,OVEN,STOVE,REFRIGERATOR,PAM",Pasangan Bekerja dengan Anak,4.18
Pasangan Bekerja tanpa Anak,25%,apartemen,73,87,1,1,1,0,0,0,0,0,,Individu Lajang,3.1853
Pasangan Bekerja tanpa Anak,50%,apartemen,92,102,2,1,1,0,1,0,1,0,"AC,STOVE",Pasangan Bekerja tanpa Anak,3.004
Pasangan Bekerja tanpa Anak,75%,rumah,149,122,3,2,2,1,1,1,1,1,"AC,CARPORT,GARASI,PAM",Pasangan Bekerja dengan Anak,4.18
Pasangan Bekerja tanpa Anak,100%,rumah,199,179,2,2,2,1,1,1,1,1,"AC,CARPORT,GARASI,OVEN,STOVE,REFRIGERATOR,PAM",Pasangan Bekerja dengan Anak,4.18
Pasangan Bekerja tanpa Anak,50%,apartemen,113,91,2,1,1,0,1,0,1,0,"AC,STOVE",Pasangan Bekerja tanpa Anak,3.004
Pasangan Bekerja tanpa Anak,75%,rumah,123,124,3,2,2,1,1,1,1,1,"AC,CARPORT,GARASI,REFRIGERATOR",Pasangan Bekerja dengan Anak,4.18
Pasangan Bekerja tanpa Anak,25%,rumah,55,59,1,1,1,0,0,0,0,0,,Individu Lajang,3.0947
Pasangan Bekerja tanpa Anak,100%,rumah,179,185,2,2,2,1,1,1,1,1,"AC,CARPORT,GARASI,OVEN,STOVE,REFRIGERATOR,PAM",Pasangan Bekerja dengan Anak,4.18
Pasangan Bekerja tanpa Anak,100%,rumah,196,187,2,2,2,1,1,1,1,1,"AC,CARPORT,GARASI,OVEN,STOVE,REFRIGERATOR,PAM",Pasangan Bekerja dengan Anak,4.18
Pasangan Bekerja tanpa Anak,25%,apartemen,86,70,1,1,1,0,0,0,0,0,,Individu Lajang,3.2387
Pasangan Bekerja tanpa Anak,50%,rumah,107,98,2,1,1,1,1,0,1,0,"AC,REFRIGERATOR",Pasangan Bekerja dengan Anak,3.38
Pasangan Bekerja tanpa Anak,50%,apartemen,116,90,2,1,1,1,1,0,1,0,"AC,REFRIGERATOR",Pasangan Bekerja tanpa Anak,3.184
Pasangan Bekerja tanpa Anak,100%,rumah,193,182,2,2,2,1,1,1,1,1,"AC,CARPORT,GARASI,OVEN,STOVE,REFRIGERATOR,PAM",Pasangan Bekerja dengan Anak,4.18
Pasangan Bekerja tanpa Anak,50%,apartemen,119,106,2,1,1,1,1,0,1,0,"AC,STOVE",Pasangan Bekerja tanpa Anak,3.184
Pasangan Bekerja tanpa Anak,75%,rumah,141,135,3,2,2,1,1,1,1,1,"AC,CARPORT,GARASI,PAM",Pasangan Bekerja dengan Anak,4.18
