title,best_persona_match,match_score,all_scores,type,land_area,building_area,bedrooms,bathrooms,floors,SCHOOL,HOSPITAL,TRANSPORT,MARKET,MALL
Rumah di Depok bebas banjir dekat stasiun,Pasangan Bekerja tanpa Anak,0.6,"{'Pasangan Bekerja dengan Anak': 0.2, 'Pasangan Bekerja tanpa Anak': 0.6, 'Individu Lajang': 0.6}",Rumah,25.0,21.0,2,1,1.0,1,1,1,1,1
Dijual cepat Rumah dekat tol sawangan,Pasangan Bekerja tanpa Anak,0.8,"{'Pasangan Bekerja dengan Anak': 0.2, 'Pasangan Bekerja tanpa Anak': 0.8, 'Individu Lajang': 0.6}",Rumah,60.0,40.0,2,1,1.0,1,0,1,0,1
Rumah 2 Lt Semi Furnish 10 Menit ke RS Brawijaya Sawangan SHM J-14593,Pasangan Bekerja dengan Anak,0.6,"{'Pasangan Bekerja dengan Anak': 0.6, 'Pasangan Bekerja tanpa Anak': 0.4, 'Individu Lajang': 0.2}",Rumah,128.0,81.0,3,2,2.0,1,1,1,1,0
Termurah Rumah Mezzanine di Citayam Lokasi Startegis,Pasangan Bekerja tanpa Anak,0.6,"{'Pasangan Bekerja dengan Anak': 0.4, 'Pasangan Bekerja tanpa Anak': 0.6, 'Individu Lajang': 0.2}",Rumah,60.0,62.0,3,1,2.0,0,1,1,0,0
Jual Cepat Cluster Citronella Pesona Sawangan Residence SHM Dekat Tol,Pasangan Bekerja tanpa Anak,0.6,"{'Pasangan Bekerja dengan Anak': 0.2, 'Pasangan Bekerja tanpa Anak': 0.6, 'Individu Lajang': 0.6}",Rumah,72.0,45.0,2,1,1.0,1,1,1,0,0
pangeran residence lokasi strategis potongan harga 15%,Pasangan Bekerja tanpa Anak,0.6,"{'Pasangan Bekerja dengan Anak': 0.4, 'Pasangan Bekerja tanpa Anak': 0.6, 'Individu Lajang': 0.6}",Rumah,50.0,36.0,3,1,2.0,1,1,1,0,1
oh sayang diskon 15% potongan harga 5 menit ke stasiun Depok lama,Pasangan Bekerja tanpa Anak,0.6,"{'Pasangan Bekerja dengan Anak': 0.4, 'Pasangan Bekerja tanpa Anak': 0.6, 'Individu Lajang': 0.6}",Rumah,50.0,35.0,3,1,2.0,1,1,1,0,1
"Cuma 165 jt , surat shm",Pasangan Bekerja tanpa Anak,0.6,"{'Pasangan Bekerja dengan Anak': 0.2, 'Pasangan Bekerja tanpa Anak': 0.6, 'Individu Lajang': 0.6}",Rumah,25.0,21.0,2,1,1.0,1,1,1,1,1
rumah megangin potongan diskon harga 15% dekat stasiun depok lama,Pasangan Bekerja tanpa Anak,0.6,"{'Pasangan Bekerja dengan Anak': 0.4, 'Pasangan Bekerja tanpa Anak': 0.6, 'Individu Lajang': 0.6}",Rumah,50.0,36.0,3,1,2.0,1,1,1,0,1
Rumah cantik Angsuran ringan,Pasangan Bekerja tanpa Anak,0.8,"{'Pasangan Bekerja dengan Anak': 0.2, 'Pasangan Bekerja tanpa Anak': 0.8, 'Individu Lajang': 0.6}",Rumah,52.0,36.0,2,1,1.0,0,0,0,0,0
Jual rumah pribadi,Pasangan Bekerja tanpa Anak,0.8,"{'Pasangan Bekerja dengan Anak': 0.2, 'Pasangan Bekerja tanpa Anak': 0.8, 'Individu Lajang': 0.8}",Rumah,42.0,42.0,2,1,1.0,0,0,0,0,0
Hanya 3 menit ke stasiun,Pasangan Bekerja tanpa Anak,0.8,"{'Pasangan Bekerja dengan Anak': 0.2, 'Pasangan Bekerja tanpa Anak': 0.8, 'Individu Lajang': 0.8}",Rumah,40.0,30.0,2,1,1.0,1,1,1,1,1
3 menit ke stasiun depok,Pasangan Bekerja tanpa Anak,0.8,"{'Pasangan Bekerja dengan Anak': 0.2, 'Pasangan Bekerja tanpa Anak': 0.8, 'Individu Lajang': 0.8}",Rumah,40.0,30.0,2,1,1.0,1,1,1,1,1
3 menit ke stasiun,Pasangan Bekerja tanpa Anak,0.8,"{'Pasangan Bekerja dengan Anak': 0.2, 'Pasangan Bekerja tanpa Anak': 0.8, 'Individu Lajang': 0.8}",Rumah,40.0,30.0,2,1,1.0,1,1,1,1,1
3 menit ke stasiun Depok,Pasangan Bekerja tanpa Anak,0.8,"{'Pasangan Bekerja dengan Anak': 0.2, 'Pasangan Bekerja tanpa Anak': 0.8, 'Individu Lajang': 0.8}",Rumah,40.0,30.0,2,1,1.0,1,1,1,1,1
Shila at Sawangan Cluster The Grove Terrace Luxe,Pasangan Bekerja dengan Anak,0.6,"{'Pasangan Bekerja dengan Anak': 0.6, 'Pasangan Bekerja tanpa Anak': 0.4, 'Individu Lajang': 0.2}",Rumah,88.0,81.0,3,2,2.0,0,0,0,0,0
Rumah Asri di Depok 25 Menit ke Stasiun Pondok Cina Siap KPR J-24177,Pasangan Bekerja dengan Anak,0.4,"{'Pasangan Bekerja dengan Anak': 0.4, 'Pasangan Bekerja tanpa Anak': 0.4, 'Individu Lajang': 0.2}",Rumah,72.0,53.0,3,1,1.0,1,1,1,1,1
"3x bayar , surat shm , cuma 165 jt",Pasangan Bekerja tanpa Anak,0.6,"{'Pasangan Bekerja dengan Anak': 0.2, 'Pasangan Bekerja tanpa Anak': 0.6, 'Individu Lajang': 0.6}",Rumah,25.0,21.0,2,1,1.0,1,1,1,1,1
Rumah mewah harga kebawah,Pasangan Bekerja tanpa Anak,0.8,"{'Pasangan Bekerja dengan Anak': 0.2, 'Pasangan Bekerja tanpa Anak': 0.8, 'Individu Lajang': 0.6}",Rumah,60.0,40.0,2,1,2.0,1,1,1,1,1
"Cuma 165 jt , surat shm , 3x bayar",Pasangan Bekerja tanpa Anak,0.6,"{'Pasangan Bekerja dengan Anak': 0.2, 'Pasangan Bekerja tanpa Anak': 0.6, 'Individu Lajang': 0.6}",Rumah,25.0,21.0,2,1,1.0,1,1,1,1,1
Rumah 1 setengah lantai bayar bisa santai,Pasangan Bekerja tanpa Anak,0.8,"{'Pasangan Bekerja dengan Anak': 0.2, 'Pasangan Bekerja tanpa Anak': 0.8, 'Individu Lajang': 0.8}",Rumah,40.0,30.0,2,1,1.0,1,1,1,1,1
Rumah 2 lantai siap huni dekat stasiun Citayam.ede,Pasangan Bekerja dengan Anak,0.6,"{'Pasangan Bekerja dengan Anak': 0.6, 'Pasangan Bekerja tanpa Anak': 0.6, 'Individu Lajang': 0.2}",Rumah,60.0,76.0,3,2,2.0,1,1,1,1,0
RUMAH READY STOK DEKAT STASIUN CITAYAM BOOKING 3JT ALL IN.MG,Pasangan Bekerja tanpa Anak,0.6,"{'Pasangan Bekerja dengan Anak': 0.2, 'Pasangan Bekerja tanpa Anak': 0.6, 'Individu Lajang': 0.6}",Rumah,72.0,36.0,2,1,1.0,1,1,1,0,0
RUMAH MURAH 2 LANTAI BISA KONSEP SENDIRI TANPA DP.MG,Pasangan Bekerja tanpa Anak,0.8,"{'Pasangan Bekerja dengan Anak': 0.2, 'Pasangan Bekerja tanpa Anak': 0.8, 'Individu Lajang': 0.8}",Rumah,40.0,48.0,2,1,1.0,1,1,1,0,0
Rumah murah dekat stasiun Depok lama.ede,Pasangan Bekerja tanpa Anak,0.8,"{'Pasangan Bekerja dengan Anak': 0.2, 'Pasangan Bekerja tanpa Anak': 0.8, 'Individu Lajang': 0.6}",Rumah,64.0,41.0,2,1,1.0,0,0,1,0,0
"Diskon 15 jt , beli sekarang",Pasangan Bekerja tanpa Anak,0.8,"{'Pasangan Bekerja dengan Anak': 0.2, 'Pasangan Bekerja tanpa Anak': 0.8, 'Individu Lajang': 0.8}",Rumah,40.0,30.0,2,1,1.0,1,1,1,1,1
Rumah Minimalis 6 Menit ke RSU Brawijaya Baru Renov Siap Huni J-22277,Pasangan Bekerja tanpa Anak,0.6,"{'Pasangan Bekerja dengan Anak': 0.2, 'Pasangan Bekerja tanpa Anak': 0.6, 'Individu Lajang': 0.6}",Rumah,78.0,40.0,2,1,1.0,1,1,1,0,1
Jual Rumah 3 KT Siap Huni 20 Mnt ke RS Puri Cinere Hadap Utara J-24057,Pasangan Bekerja dengan Anak,0.6,"{'Pasangan Bekerja dengan Anak': 0.6, 'Pasangan Bekerja tanpa Anak': 0.6, 'Individu Lajang': 0.2}",Rumah,86.0,70.0,3,2,1.0,1,0,1,1,1
"Cuma 165 jt , surat shm",Pasangan Bekerja tanpa Anak,0.6,"{'Pasangan Bekerja dengan Anak': 0.2, 'Pasangan Bekerja tanpa Anak': 0.6, 'Individu Lajang': 0.6}",Rumah,25.0,21.0,2,1,1.0,1,1,1,1,1
"Cuma 165 jt , surat shm",Pasangan Bekerja tanpa Anak,0.6,"{'Pasangan Bekerja dengan Anak': 0.2, 'Pasangan Bekerja tanpa Anak': 0.6, 'Individu Lajang': 0.6}",Rumah,25.0,21.0,2,1,1.0,1,1,1,1,1
"Dijual Cepat Rumah Elegant, Di Telaga Golf Sawangan",Pasangan Bekerja dengan Anak,0.6,"{'Pasangan Bekerja dengan Anak': 0.6, 'Pasangan Bekerja tanpa Anak': 0.4, 'Individu Lajang': 0.2}",Rumah,462.0,378.0,2,3,2.0,0,0,0,0,0
"3 menit ke stasiun depok, rumah mewah bebas banjir akses mudah",Pasangan Bekerja tanpa Anak,0.8,"{'Pasangan Bekerja dengan Anak': 0.2, 'Pasangan Bekerja tanpa Anak': 0.8, 'Individu Lajang': 0.8}",Rumah,40.0,30.0,2,1,1.0,1,1,1,1,1
cluster mewah harga ramah lingkungan,Pasangan Bekerja dengan Anak,0.4,"{'Pasangan Bekerja dengan Anak': 0.4, 'Pasangan Bekerja tanpa Anak': 0.4, 'Individu Lajang': 0.4}",Rumah,79.0,45.0,3,1,2.0,0,1,1,1,0
"3 menit ke stasiun depok, rumah mewah bebas banjir akses mudah",Pasangan Bekerja tanpa Anak,0.8,"{'Pasangan Bekerja dengan Anak': 0.2, 'Pasangan Bekerja tanpa Anak': 0.8, 'Individu Lajang': 0.8}",Rumah,40.0,30.0,2,1,1.0,1,1,1,1,1
"Dijual Cepat Rumah Siap Pakai, Telaga Golf Sawangan",Pasangan Bekerja dengan Anak,0.6,"{'Pasangan Bekerja dengan Anak': 0.6, 'Pasangan Bekerja tanpa Anak': 0.2, 'Individu Lajang': 0.0}",Rumah,480.0,369.0,6,6,2.0,0,0,0,0,0
DIJUAL RUMAH DI PAMULANG VILLAGE BOJONGSARI DEPOK - VIA CESSIE,Pasangan Bekerja dengan Anak,0.4,"{'Pasangan Bekerja dengan Anak': 0.4, 'Pasangan Bekerja tanpa Anak': 0.2, 'Individu Lajang': 0.2}",Rumah,104.0,75.0,3,1,1.0,0,1,0,0,0
Rumah mewah bebas banjir akses mobil hanya 3 menit ke stasiun depok,Pasangan Bekerja tanpa Anak,0.8,"{'Pasangan Bekerja dengan Anak': 0.2, 'Pasangan Bekerja tanpa Anak': 0.8, 'Individu Lajang': 0.8}",Rumah,40.0,30.0,2,1,1.0,1,1,1,1,1
rumah di jual murah di depok 755 Juta KPR Syariah Murni Dekat Tol,Pasangan Bekerja tanpa Anak,0.8,"{'Pasangan Bekerja dengan Anak': 0.6, 'Pasangan Bekerja tanpa Anak': 0.8, 'Individu Lajang': 0.4}",Rumah,50.0,70.0,3,2,2.0,0,1,1,0,1
Premier Promenade Tipe Orchid,Pasangan Bekerja dengan Anak,0.6,"{'Pasangan Bekerja dengan Anak': 0.6, 'Pasangan Bekerja tanpa Anak': 0.4, 'Individu Lajang': 0.2}",Rumah,84.0,95.0,3,2,2.0,1,1,1,0,1
Rumah Baru Renov 20 Mnt ke The Park Mall Sawangan Harga All In J-16368,Pasangan Bekerja dengan Anak,0.6,"{'Pasangan Bekerja dengan Anak': 0.6, 'Pasangan Bekerja tanpa Anak': 0.4, 'Individu Lajang': 0.2}",Rumah,100.0,78.0,3,2,2.0,1,1,1,1,1
Rumah 1 Lt Minimalis 10 Menit ke RS Brawijaya 620jt Harga Nego J-22928,Pasangan Bekerja tanpa Anak,0.6,"{'Pasangan Bekerja dengan Anak': 0.2, 'Pasangan Bekerja tanpa Anak': 0.6, 'Individu Lajang': 0.4}",Rumah,86.0,70.0,2,1,1.0,1,1,1,1,1
diskon potongan harga hingga 15% dan free bonus mezzanine,Pasangan Bekerja tanpa Anak,0.6,"{'Pasangan Bekerja dengan Anak': 0.4, 'Pasangan Bekerja tanpa Anak': 0.6, 'Individu Lajang': 0.6}",Rumah,50.0,35.0,3,1,2.0,1,1,1,0,1
Rumah Incaran harga termurah masuk mobil bebas banjir,Pasangan Bekerja tanpa Anak,0.8,"{'Pasangan Bekerja dengan Anak': 0.2, 'Pasangan Bekerja tanpa Anak': 0.8, 'Individu Lajang': 0.6}",Rumah,55.0,36.0,2,1,1.0,0,0,0,0,0
jual rumah tinggal permata depok,Pasangan Bekerja tanpa Anak,0.6,"{'Pasangan Bekerja dengan Anak': 0.2, 'Pasangan Bekerja tanpa Anak': 0.6, 'Individu Lajang': 0.4}",Rumah,72.0,70.0,2,1,1.0,1,1,1,0,0
cluster griya pancoran mas asri,Pasangan Bekerja tanpa Anak,0.6,"{'Pasangan Bekerja dengan Anak': 0.2, 'Pasangan Bekerja tanpa Anak': 0.6, 'Individu Lajang': 0.6}",Rumah,77.0,45.0,2,1,2.0,0,1,1,1,0
RUMAH MURAH MEWAH 5JT ALL IN,Pasangan Bekerja dengan Anak,0.4,"{'Pasangan Bekerja dengan Anak': 0.4, 'Pasangan Bekerja tanpa Anak': 0.2, 'Individu Lajang': 0.0}",Rumah,72.0,76.0,3,3,2.0,1,0,1,0,0
cluster cantik griya pancoran mas asri,Pasangan Bekerja tanpa Anak,0.8,"{'Pasangan Bekerja dengan Anak': 0.2, 'Pasangan Bekerja tanpa Anak': 0.8, 'Individu Lajang': 0.6}",Rumah,55.0,40.0,2,1,1.0,0,1,1,1,0
Cluster Murah Masuk Mobil,Pasangan Bekerja tanpa Anak,0.8,"{'Pasangan Bekerja dengan Anak': 0.2, 'Pasangan Bekerja tanpa Anak': 0.8, 'Individu Lajang': 0.8}",Rumah,50.0,36.0,2,1,1.0,0,0,0,0,0
Dijual Rumah di Selatan Jakarta Lantai 2 755 Juta KPRS Surat SHM,Pasangan Bekerja tanpa Anak,0.8,"{'Pasangan Bekerja dengan Anak': 0.6, 'Pasangan Bekerja tanpa Anak': 0.8, 'Individu Lajang': 0.4}",Rumah,50.0,70.0,3,2,2.0,0,1,1,0,1
diskon potongan harga 15% khusus bulan September di pangeran residence,Pasangan Bekerja tanpa Anak,0.6,"{'Pasangan Bekerja dengan Anak': 0.4, 'Pasangan Bekerja tanpa Anak': 0.6, 'Individu Lajang': 0.6}",Rumah,50.0,35.0,3,1,2.0,1,1,1,0,1
Rumah 4 KT Strategis 6 Menit ke Pintu Toll Limo 1 Dibantu KPR J-18891,Pasangan Bekerja dengan Anak,0.2,"{'Pasangan Bekerja dengan Anak': 0.2, 'Pasangan Bekerja tanpa Anak': 0.2, 'Individu Lajang': 0.0}",Rumah,130.0,96.0,4,3,2.0,1,1,1,1,1
Rumah di depok harga promo,Pasangan Bekerja tanpa Anak,0.8,"{'Pasangan Bekerja dengan Anak': 0.2, 'Pasangan Bekerja tanpa Anak': 0.8, 'Individu Lajang': 0.6}",Rumah,61.0,40.0,2,1,1.0,1,1,1,0,0
khusus untuk bulan September promo diskon potongan harga 15%,Pasangan Bekerja tanpa Anak,0.6,"{'Pasangan Bekerja dengan Anak': 0.4, 'Pasangan Bekerja tanpa Anak': 0.6, 'Individu Lajang': 0.6}",Rumah,50.0,35.0,3,1,2.0,1,1,1,0,1
Dijual Rumah Modern Minimalis,Pasangan Bekerja tanpa Anak,0.4,"{'Pasangan Bekerja dengan Anak': 0.2, 'Pasangan Bekerja tanpa Anak': 0.4, 'Individu Lajang': 0.4}",Rumah,124.0,80.0,2,1,1.0,1,0,1,0,1
Sva Casa Tipe Svara,Pasangan Bekerja dengan Anak,0.4,"{'Pasangan Bekerja dengan Anak': 0.4, 'Pasangan Bekerja tanpa Anak': 0.4, 'Individu Lajang': 0.0}",Rumah,72.0,70.0,3,3,2.0,0,0,0,0,0
rumah mezzanine 5 menit dari stasiun Depok lama,Pasangan Bekerja tanpa Anak,0.6,"{'Pasangan Bekerja dengan Anak': 0.4, 'Pasangan Bekerja tanpa Anak': 0.6, 'Individu Lajang': 0.6}",Rumah,50.0,35.0,3,1,2.0,1,1,1,0,1
pangeran residence diskon 15% potongan harga khusus bulan September,Pasangan Bekerja tanpa Anak,0.6,"{'Pasangan Bekerja dengan Anak': 0.4, 'Pasangan Bekerja tanpa Anak': 0.6, 'Individu Lajang': 0.6}",Rumah,50.0,35.0,3,1,2.0,1,1,1,0,1
Rumah Nyaman Ready Stock Fasilitas Lengkap Lokasi di Sawangan,Pasangan Bekerja tanpa Anak,0.8,"{'Pasangan Bekerja dengan Anak': 0.2, 'Pasangan Bekerja tanpa Anak': 0.8, 'Individu Lajang': 0.6}",Rumah,60.0,45.0,2,1,1.0,0,1,0,0,0
Rumah Mewah 2 Lantai Cicil Langsung ke Developer Lokasi di Sawangan,Pasangan Bekerja dengan Anak,0.6,"{'Pasangan Bekerja dengan Anak': 0.6, 'Pasangan Bekerja tanpa Anak': 0.6, 'Individu Lajang': 0.2}",Rumah,78.0,60.0,3,2,2.0,1,1,1,0,0
JUAL RUMAH BUKIT RIVARIA,Pasangan Bekerja dengan Anak,0.4,"{'Pasangan Bekerja dengan Anak': 0.4, 'Pasangan Bekerja tanpa Anak': 0.4, 'Individu Lajang': 0.2}",Rumah,150.0,100.0,4,2,1.0,0,0,0,0,0
rumah modern di depok,Pasangan Bekerja tanpa Anak,0.6,"{'Pasangan Bekerja dengan Anak': 0.2, 'Pasangan Bekerja tanpa Anak': 0.6, 'Individu Lajang': 0.6}",Rumah,111.0,45.0,2,1,1.0,1,0,0,0,0
Hunian minimalis siap huni type 40/60,Pasangan Bekerja tanpa Anak,0.8,"{'Pasangan Bekerja dengan Anak': 0.2, 'Pasangan Bekerja tanpa Anak': 0.8, 'Individu Lajang': 0.6}",Rumah,60.0,40.0,2,1,1.0,0,0,0,0,0
KPR Murah DP 0% Cicilan Cuma 2jtan,Pasangan Bekerja tanpa Anak,0.8,"{'Pasangan Bekerja dengan Anak': 0.2, 'Pasangan Bekerja tanpa Anak': 0.8, 'Individu Lajang': 0.8}",Rumah,50.0,40.0,2,1,1.0,0,0,0,0,0
KPR Murah DP 0% di Bojongsari Depok,Pasangan Bekerja tanpa Anak,0.8,"{'Pasangan Bekerja dengan Anak': 0.2, 'Pasangan Bekerja tanpa Anak': 0.8, 'Individu Lajang': 0.8}",Rumah,50.0,36.0,2,1,1.0,0,0,1,1,0
cluster zaman now di depok cagar alam,Pasangan Bekerja tanpa Anak,0.8,"{'Pasangan Bekerja dengan Anak': 0.2, 'Pasangan Bekerja tanpa Anak': 0.8, 'Individu Lajang': 0.6}",Rumah,55.0,40.0,2,1,1.0,0,1,0,0,1
grand garda residence cash dan KPR tersedia,Pasangan Bekerja tanpa Anak,0.8,"{'Pasangan Bekerja dengan Anak': 0.2, 'Pasangan Bekerja tanpa Anak': 0.8, 'Individu Lajang': 0.8}",Rumah,50.0,36.0,2,1,1.0,0,1,0,0,1
Rumah LB 120 Siap Huni 15 Mnt ke Terminal Citayam Dibantu KPR J-23584,Pasangan Bekerja dengan Anak,0.6,"{'Pasangan Bekerja dengan Anak': 0.6, 'Pasangan Bekerja tanpa Anak': 0.4, 'Individu Lajang': 0.2}",Rumah,90.0,120.0,3,2,2.0,1,0,1,0,1
Rumah minimalis luas 80 di sawangan Depok,Pasangan Bekerja tanpa Anak,0.6,"{'Pasangan Bekerja dengan Anak': 0.2, 'Pasangan Bekerja tanpa Anak': 0.6, 'Individu Lajang': 0.6}",Rumah,80.0,45.0,2,1,1.0,0,0,0,0,0
Cukup Booking 3 juta Dapat Diskon 15 juta Khusus Minggu ini,Pasangan Bekerja tanpa Anak,0.8,"{'Pasangan Bekerja dengan Anak': 0.2, 'Pasangan Bekerja tanpa Anak': 0.8, 'Individu Lajang': 0.8}",Rumah,40.0,30.0,2,1,1.0,1,1,1,1,1
Cukup Booking 3 juta Dapat Diskon 15 juta Khusus Minggu ini,Pasangan Bekerja tanpa Anak,0.8,"{'Pasangan Bekerja dengan Anak': 0.2, 'Pasangan Bekerja tanpa Anak': 0.8, 'Individu Lajang': 0.8}",Rumah,40.0,30.0,2,1,1.0,1,1,1,1,1
Rumah Minimalis 3 KT 5 Menit ke The Park Sawangan Dibantu KPR J-9722,Pasangan Bekerja dengan Anak,0.4,"{'Pasangan Bekerja dengan Anak': 0.4, 'Pasangan Bekerja tanpa Anak': 0.2, 'Individu Lajang': 0.2}",Rumah,81.0,81.0,3,1,5.0,1,1,1,1,1
Promo Spesial  Free AC Harga Normal 275jt,Pasangan Bekerja tanpa Anak,0.8,"{'Pasangan Bekerja dengan Anak': 0.2, 'Pasangan Bekerja tanpa Anak': 0.8, 'Individu Lajang': 0.8}",Rumah,50.0,36.0,2,1,1.0,0,0,0,0,0
Rumah Mewah di Grand Duta Residence,Pasangan Bekerja tanpa Anak,0.8,"{'Pasangan Bekerja dengan Anak': 0.2, 'Pasangan Bekerja tanpa Anak': 0.8, 'Individu Lajang': 0.8}",Rumah,50.0,36.0,2,1,1.0,0,0,0,0,0
"Cluster minimalis, rumah baru type 40/60 siap huni",Pasangan Bekerja tanpa Anak,0.8,"{'Pasangan Bekerja dengan Anak': 0.2, 'Pasangan Bekerja tanpa Anak': 0.8, 'Individu Lajang': 0.6}",Rumah,60.0,40.0,2,1,1.0,0,0,1,0,0
Cukup Booking 3 juta Dapat Diskon 15 juta Khusus Minggu ini,Pasangan Bekerja tanpa Anak,0.8,"{'Pasangan Bekerja dengan Anak': 0.2, 'Pasangan Bekerja tanpa Anak': 0.8, 'Individu Lajang': 0.8}",Rumah,40.0,30.0,2,1,1.0,1,1,1,1,1
"5 juta langsung akad 15 menit kestasiun, 5 menit ke pintu tol didepok",Pasangan Bekerja tanpa Anak,0.6,"{'Pasangan Bekerja dengan Anak': 0.2, 'Pasangan Bekerja tanpa Anak': 0.6, 'Individu Lajang': 0.6}",Rumah,72.0,40.0,2,1,1.0,0,0,0,0,0
Proses auto approve 5 all in sampai akad di pitara depok,Pasangan Bekerja tanpa Anak,0.8,"{'Pasangan Bekerja dengan Anak': 0.2, 'Pasangan Bekerja tanpa Anak': 0.8, 'Individu Lajang': 0.6}",Rumah,70.0,40.0,2,1,1.0,1,0,1,1,1
Rumah LT 131 Siap Huni 10 Mnt ke The Park Sawangan Harga Nego J-24337,Pasangan Bekerja tanpa Anak,0.8,"{'Pasangan Bekerja dengan Anak': 0.4, 'Pasangan Bekerja tanpa Anak': 0.8, 'Individu Lajang': 0.4}",Rumah,131.0,55.0,2,2,1.0,1,0,1,1,0
Cluster Murah Depok,Pasangan Bekerja tanpa Anak,0.8,"{'Pasangan Bekerja dengan Anak': 0.2, 'Pasangan Bekerja tanpa Anak': 0.8, 'Individu Lajang': 0.6}",Rumah,62.0,48.0,2,1,2.0,0,0,0,0,0
Rumah Baru Renov di Depok Dekat Stasiun Dibantu KPR Harga Nego J-20230,Pasangan Bekerja dengan Anak,0.6,"{'Pasangan Bekerja dengan Anak': 0.6, 'Pasangan Bekerja tanpa Anak': 0.6, 'Individu Lajang': 0.2}",Rumah,72.0,67.0,3,2,2.0,1,1,1,1,0
"Cuma 225 jt , diskon 15 jt , 3x bayar",Pasangan Bekerja tanpa Anak,0.8,"{'Pasangan Bekerja dengan Anak': 0.2, 'Pasangan Bekerja tanpa Anak': 0.8, 'Individu Lajang': 0.8}",Rumah,40.0,30.0,2,1,1.0,1,1,1,1,1
Rumah LT 78 di Depok Dekat Faskes dan Sekolah Free Biaya Biaya J-22277,Pasangan Bekerja tanpa Anak,0.6,"{'Pasangan Bekerja dengan Anak': 0.2, 'Pasangan Bekerja tanpa Anak': 0.6, 'Individu Lajang': 0.6}",Rumah,78.0,40.0,2,1,1.0,1,1,1,0,1
"Cuma 225 jt , diskon 15 jt , 3x bayar",Pasangan Bekerja tanpa Anak,0.8,"{'Pasangan Bekerja dengan Anak': 0.2, 'Pasangan Bekerja tanpa Anak': 0.8, 'Individu Lajang': 0.8}",Rumah,40.0,30.0,2,1,1.0,1,1,1,1,1
perumahan modern dengan tampilan scandinavian,Pasangan Bekerja tanpa Anak,0.8,"{'Pasangan Bekerja dengan Anak': 0.2, 'Pasangan Bekerja tanpa Anak': 0.8, 'Individu Lajang': 0.6}",Rumah,64.0,45.0,2,1,1.0,0,0,0,0,0
"Diskon 15 jt , 3x bayar , surat SHM",Pasangan Bekerja tanpa Anak,0.8,"{'Pasangan Bekerja dengan Anak': 0.2, 'Pasangan Bekerja tanpa Anak': 0.8, 'Individu Lajang': 0.8}",Rumah,40.0,30.0,2,1,1.0,1,1,1,1,1
