title,best_persona_match,match_score,type,land_area,building_area,bedrooms,bathrooms,floors,address_city,SCHOOL,HOSPITAL,TRANSPORT,MARKET,MALL
"3x bayar , surat shm , cuma 165 jt",Pasangan Bekerja tanpa Anak,0.6,Rumah,25.0,21.0,2.0,1.0,1.0,Depok Kota,1,1,1,1,1
Rumah mewah harga kebawah,Pasangan Bekerja tanpa Anak,0.8,Rumah,60.0,40.0,2.0,1.0,2.0,Depok Kota,1,1,1,1,1
"Cuma 165 jt , surat shm , 3x bayar",Pasangan Bekerja tanpa Anak,0.6,Rumah,25.0,21.0,2.0,1.0,1.0,Depok Kota,1,1,1,1,1
Rumah 1 setengah lantai bayar bisa santai,Pasangan Bekerja tanpa Anak,0.8,Rumah,40.0,30.0,2.0,1.0,1.0,Depok Kota,1,1,1,1,1
Rumah 2 lantai siap huni dekat stasiun Citayam.ede,Pasangan Bekerja dengan Anak,0.6,Rumah,60.0,76.0,3.0,2.0,2.0,Depok Kota,1,1,1,1,0
RUMAH READY STOK DEKAT STASIUN CITAYAM BOOKING 3JT ALL IN.MG,Pasangan Bekerja tanpa Anak,0.6,Rumah,72.0,36.0,2.0,1.0,1.0,Depok Kota,1,1,1,0,0
RUMAH MURAH 2 LANTAI BISA KONSEP SENDIRI TANPA DP.MG,Pasangan Bekerja tanpa Anak,0.8,Rumah,40.0,48.0,2.0,1.0,1.0,Depok Kota,1,1,1,0,0
Rumah murah dekat stasiun Depok lama.ede,Pasangan Bekerja tanpa Anak,0.8,Rumah,64.0,41.0,2.0,1.0,1.0,Depok Kota,0,0,1,0,0
"Diskon 15 jt , beli sekarang",Pasangan Bekerja tanpa Anak,0.8,Rumah,40.0,30.0,2.0,1.0,1.0,Depok Kota,1,1,1,1,1
Rumah Minimalis 6 Menit ke RSU Brawijaya Baru Renov Siap Huni J-22277,Pasangan Bekerja tanpa Anak,0.6,Rumah,78.0,40.0,2.0,1.0,1.0,Depok Kota,1,1,1,0,1
Jual Rumah 3 KT Siap Huni 20 Mnt ke RS Puri Cinere Hadap Utara J-24057,Pasangan Bekerja dengan Anak,0.6,Rumah,86.0,70.0,3.0,2.0,1.0,Depok Kota,1,0,1,1,1
"Cuma 165 jt , surat shm",Pasangan Bekerja tanpa Anak,0.6,Rumah,25.0,21.0,2.0,1.0,1.0,Depok Kota,1,1,1,1,1
"Cuma 165 jt , surat shm",Pasangan Bekerja tanpa Anak,0.6,Rumah,25.0,21.0,2.0,1.0,1.0,Depok Kota,1,1,1,1,1
"Dijual Cepat Rumah Elegant, Di Telaga Golf Sawangan",Pasangan Bekerja dengan Anak,0.6,Rumah,462.0,378.0,2.0,3.0,2.0,Depok Kota,0,0,0,0,0
"3 menit ke stasiun depok, rumah mewah bebas banjir akses mudah",Pasangan Bekerja tanpa Anak,0.8,Rumah,40.0,30.0,2.0,1.0,1.0,Depok Kota,1,1,1,1,1
cluster mewah harga ramah lingkungan,Pasangan Bekerja dengan Anak,0.4,Rumah,79.0,45.0,3.0,1.0,2.0,Depok Kota,0,1,1,1,0
"3 menit ke stasiun depok, rumah mewah bebas banjir akses mudah",Pasangan Bekerja tanpa Anak,0.8,Rumah,40.0,30.0,2.0,1.0,1.0,Depok Kota,1,1,1,1,1
"Dijual Cepat Rumah Siap Pakai, Telaga Golf Sawangan",Pasangan Bekerja dengan Anak,0.6,Rumah,480.0,369.0,6.0,6.0,2.0,Depok Kota,0,0,0,0,0
DIJUAL RUMAH DI PAMULANG VILLAGE BOJONGSARI DEPOK - VIA CESSIE,Pasangan Bekerja dengan Anak,0.4,Rumah,104.0,75.0,3.0,1.0,1.0,Depok Kota,0,1,0,0,0
Rumah mewah bebas banjir akses mobil hanya 3 menit ke stasiun depok,Pasangan Bekerja tanpa Anak,0.8,Rumah,40.0,30.0,2.0,1.0,1.0,Depok Kota,1,1,1,1,1
rumah di jual murah di depok 755 Juta KPR Syariah Murni Dekat Tol,Pasangan Bekerja tanpa Anak,0.8,Rumah,50.0,70.0,3.0,2.0,2.0,Depok Kota,0,1,1,0,1
Premier Promenade Tipe Orchid,Pasangan Bekerja dengan Anak,0.6,Rumah,84.0,95.0,3.0,2.0,2.0,Depok Kota,1,1,1,0,1
Rumah Baru Renov 20 Mnt ke The Park Mall Sawangan Harga All In J-16368,Pasangan Bekerja dengan Anak,0.6,Rumah,100.0,78.0,3.0,2.0,2.0,Depok Kota,1,1,1,1,1
Rumah 1 Lt Minimalis 10 Menit ke RS Brawijaya 620jt Harga Nego J-22928,Pasangan Bekerja tanpa Anak,0.6,Rumah,86.0,70.0,2.0,1.0,1.0,Depok Kota,1,1,1,1,1
diskon potongan harga hingga 15% dan free bonus mezzanine,Pasangan Bekerja tanpa Anak,0.6,Rumah,50.0,35.0,3.0,1.0,2.0,Depok Kota,1,1,1,0,1
Rumah Incaran harga termurah masuk mobil bebas banjir,Pasangan Bekerja tanpa Anak,0.8,Rumah,55.0,36.0,2.0,1.0,1.0,Depok Kota,0,0,0,0,0
jual rumah tinggal permata depok,Pasangan Bekerja tanpa Anak,0.6,Rumah,72.0,70.0,2.0,1.0,1.0,Jakarta Pusat,1,1,1,0,0
cluster griya pancoran mas asri,Pasangan Bekerja tanpa Anak,0.6,Rumah,77.0,45.0,2.0,1.0,2.0,Depok Kota,0,1,1,1,0
RUMAH MURAH MEWAH 5JT ALL IN,Pasangan Bekerja dengan Anak,0.4,Rumah,72.0,76.0,3.0,3.0,2.0,Depok Kota,1,0,1,0,0
cluster cantik griya pancoran mas asri,Pasangan Bekerja tanpa Anak,0.8,Rumah,55.0,40.0,2.0,1.0,1.0,Depok Kota,0,1,1,1,0
Cluster Murah Masuk Mobil,Pasangan Bekerja tanpa Anak,0.8,Rumah,50.0,36.0,2.0,1.0,1.0,Depok Kota,0,0,0,0,0
Dijual Rumah di Selatan Jakarta Lantai 2 755 Juta KPRS Surat SHM,Pasangan Bekerja tanpa Anak,0.8,Rumah,50.0,70.0,3.0,2.0,2.0,Depok Kota,0,1,1,0,1
diskon potongan harga 15% khusus bulan September di pangeran residence,Pasangan Bekerja tanpa Anak,0.6,Rumah,50.0,35.0,3.0,1.0,2.0,Depok Kota,1,1,1,0,1
Rumah 4 KT Strategis 6 Menit ke Pintu Toll Limo 1 Dibantu KPR J-18891,Pasangan Bekerja dengan Anak,0.2,Rumah,130.0,96.0,4.0,3.0,2.0,Depok Kota,1,1,1,1,1
Rumah di depok harga promo,Pasangan Bekerja tanpa Anak,0.8,Rumah,61.0,40.0,2.0,1.0,1.0,Depok Kota,1,1,1,0,0
khusus untuk bulan September promo diskon potongan harga 15%,Pasangan Bekerja tanpa Anak,0.6,Rumah,50.0,35.0,3.0,1.0,2.0,Depok Kota,1,1,1,0,1
Dijual Rumah Modern Minimalis,Pasangan Bekerja tanpa Anak,0.4,Rumah,124.0,80.0,2.0,1.0,1.0,Depok Kota,1,0,1,0,1
Sva Casa Tipe Svara,Pasangan Bekerja dengan Anak,0.4,Rumah,72.0,70.0,3.0,3.0,2.0,Depok Kota,0,0,0,0,0
rumah mezzanine 5 menit dari stasiun Depok lama,Pasangan Bekerja tanpa Anak,0.6,Rumah,50.0,35.0,3.0,1.0,2.0,Depok Kota,1,1,1,0,1
pangeran residence diskon 15% potongan harga khusus bulan September,Pasangan Bekerja tanpa Anak,0.6,Rumah,50.0,35.0,3.0,1.0,2.0,Depok Kota,1,1,1,0,1
Rumah Nyaman Ready Stock Fasilitas Lengkap Lokasi di Sawangan,Pasangan Bekerja tanpa Anak,0.8,Rumah,60.0,45.0,2.0,1.0,1.0,Depok Kota,0,1,0,0,0
Rumah Mewah 2 Lantai Cicil Langsung ke Developer Lokasi di Sawangan,Pasangan Bekerja dengan Anak,0.6,Rumah,78.0,60.0,3.0,2.0,2.0,Depok Kota,1,1,1,0,0
JUAL RUMAH BUKIT RIVARIA,Pasangan Bekerja dengan Anak,0.4,Rumah,150.0,100.0,4.0,2.0,1.0,Depok Kota,0,0,0,0,0
rumah modern di depok,Pasangan Bekerja tanpa Anak,0.6,Rumah,111.0,45.0,2.0,1.0,1.0,Depok Kota,1,0,0,0,0
Hunian minimalis siap huni type 40/60,Pasangan Bekerja tanpa Anak,0.8,Rumah,60.0,40.0,2.0,1.0,1.0,Depok Kota,0,0,0,0,0
KPR Murah DP 0% Cicilan Cuma 2jtan,Pasangan Bekerja tanpa Anak,0.8,Rumah,50.0,40.0,2.0,1.0,1.0,Depok Kota,0,0,0,0,0
KPR Murah DP 0% di Bojongsari Depok,Pasangan Bekerja tanpa Anak,0.8,Rumah,50.0,36.0,2.0,1.0,1.0,Depok Kota,0,0,1,1,0
cluster zaman now di depok cagar alam,Pasangan Bekerja tanpa Anak,0.8,Rumah,55.0,40.0,2.0,1.0,1.0,Depok Kota,0,1,0,0,1
grand garda residence cash dan KPR tersedia,Pasangan Bekerja tanpa Anak,0.8,Rumah,50.0,36.0,2.0,1.0,1.0,Depok Kota,0,1,0,0,1
Rumah LB 120 Siap Huni 15 Mnt ke Terminal Citayam Dibantu KPR J-23584,Pasangan Bekerja dengan Anak,0.6,Rumah,90.0,120.0,3.0,2.0,2.0,Depok Kota,1,0,1,0,1
Rumah minimalis luas 80 di sawangan Depok,Pasangan Bekerja tanpa Anak,0.6,Rumah,80.0,45.0,2.0,1.0,1.0,Depok Kota,0,0,0,0,0
Cukup Booking 3 juta Dapat Diskon 15 juta Khusus Minggu ini,Pasangan Bekerja tanpa Anak,0.8,Rumah,40.0,30.0,2.0,1.0,1.0,Depok Kota,1,1,1,1,1
Cukup Booking 3 juta Dapat Diskon 15 juta Khusus Minggu ini,Pasangan Bekerja tanpa Anak,0.8,Rumah,40.0,30.0,2.0,1.0,1.0,Depok Kota,1,1,1,1,1
Rumah Minimalis 3 KT 5 Menit ke The Park Sawangan Dibantu KPR J-9722,Pasangan Bekerja dengan Anak,0.4,Rumah,81.0,81.0,3.0,1.0,5.0,Depok Kota,1,1,1,1,1
Promo Spesial  Free AC Harga Normal 275jt,Pasangan Bekerja tanpa Anak,0.8,Rumah,50.0,36.0,2.0,1.0,1.0,Depok Kota,0,0,0,0,0
Rumah Mewah di Grand Duta Residence,Pasangan Bekerja tanpa Anak,0.8,Rumah,50.0,36.0,2.0,1.0,1.0,Depok Kota,0,0,0,0,0
"Cluster minimalis, rumah baru type 40/60 siap huni",Pasangan Bekerja tanpa Anak,0.8,Rumah,60.0,40.0,2.0,1.0,1.0,Depok Kota,0,0,1,0,0
Cukup Booking 3 juta Dapat Diskon 15 juta Khusus Minggu ini,Pasangan Bekerja tanpa Anak,0.8,Rumah,40.0,30.0,2.0,1.0,1.0,Depok Kota,1,1,1,1,1
"5 juta langsung akad 15 menit kestasiun, 5 menit ke pintu tol didepok",Pasangan Bekerja tanpa Anak,0.6,Rumah,72.0,40.0,2.0,1.0,1.0,Depok Kota,0,0,0,0,0
Proses auto approve 5 all in sampai akad di pitara depok,Pasangan Bekerja tanpa Anak,0.8,Rumah,70.0,40.0,2.0,1.0,1.0,Depok Kota,1,0,1,1,1
Rumah LT 131 Siap Huni 10 Mnt ke The Park Sawangan Harga Nego J-24337,Pasangan Bekerja tanpa Anak,0.8,Rumah,131.0,55.0,2.0,2.0,1.0,Depok Kota,1,0,1,1,0
Cluster Murah Depok,Pasangan Bekerja tanpa Anak,0.8,Rumah,62.0,48.0,2.0,1.0,2.0,Depok Kota,0,0,0,0,0
Rumah Baru Renov di Depok Dekat Stasiun Dibantu KPR Harga Nego J-20230,Pasangan Bekerja dengan Anak,0.6,Rumah,72.0,67.0,3.0,2.0,2.0,Depok Kota,1,1,1,1,0
"Cuma 225 jt , diskon 15 jt , 3x bayar",Pasangan Bekerja tanpa Anak,0.8,Rumah,40.0,30.0,2.0,1.0,1.0,Depok Kota,1,1,1,1,1
Rumah LT 78 di Depok Dekat Faskes dan Sekolah Free Biaya Biaya J-22277,Pasangan Bekerja tanpa Anak,0.6,Rumah,78.0,40.0,2.0,1.0,1.0,Depok Kota,1,1,1,0,1
"Cuma 225 jt , diskon 15 jt , 3x bayar",Pasangan Bekerja tanpa Anak,0.8,Rumah,40.0,30.0,2.0,1.0,1.0,Depok Kota,1,1,1,1,1
perumahan modern dengan tampilan scandinavian,Pasangan Bekerja tanpa Anak,0.8,Rumah,64.0,45.0,2.0,1.0,1.0,Depok Kota,0,0,0,0,0
"Diskon 15 jt , 3x bayar , surat SHM",Pasangan Bekerja tanpa Anak,0.8,Rumah,40.0,30.0,2.0,1.0,1.0,Depok Kota,1,1,1,1,1
Hunian 1 lantai siap huni 600jt an dekat gerbang tol sawangan,Pasangan Bekerja tanpa Anak,0.8,Rumah,70.0,50.0,2.0,1.0,1.0,Depok Kota,0,1,1,1,1
"Cuma 225 jt , diskon 15 jt , 3x bayar",Pasangan Bekerja tanpa Anak,0.8,Rumah,40.0,30.0,2.0,1.0,1.0,Depok Kota,1,1,1,1,1
400jt an dapat2 lantai cluster aman nyaman bogor,Pasangan Bekerja tanpa Anak,1.0,Rumah,50.0,52.0,2.0,2.0,2.0,Depok Kota,1,1,1,0,1
Rumah LT 112 di Depok 10 Mnt ke RS Permata Baru Renov Siap KPR J-15880,Pasangan Bekerja dengan Anak,0.6,Rumah,112.0,109.0,3.0,2.0,2.0,Depok Kota,1,1,1,1,1
"Cuma 225 jt , dapat diskon 15 jt , 3x bayar",Pasangan Bekerja tanpa Anak,0.8,Rumah,40.0,30.0,2.0,1.0,1.0,Depok Kota,1,1,1,1,1
Shila at Sawangan Cluster Tilia Courtyard Plus,Pasangan Bekerja dengan Anak,0.4,Rumah,140.0,109.0,3.0,4.0,2.0,Depok Kota,1,1,1,1,1
Dijual Rumah 5 Menit dari Stasiun Citayam,Pasangan Bekerja tanpa Anak,0.6,Rumah,153.0,45.0,2.0,1.0,1.0,Depok Kota,0,0,1,0,0
"Surat SHM , cuma 165 jt , 3x bayar",Pasangan Bekerja tanpa Anak,0.6,Rumah,25.0,21.0,2.0,1.0,1.0,Depok Kota,1,1,1,1,1
"Cuma 165 jt , 3x bayar , surat SHM",Pasangan Bekerja tanpa Anak,0.6,Rumah,25.0,21.0,2.0,1.0,1.0,Depok Kota,1,1,1,1,1
"Cuma 165 jt , 3x bayar , surat SHM",Pasangan Bekerja tanpa Anak,0.6,Rumah,25.0,21.0,2.0,1.0,1.0,Depok Kota,1,1,1,1,1
Rumah mewah bebas banjir akses mobil 3 menit ke stasiun depok,Pasangan Bekerja tanpa Anak,0.8,Rumah,40.0,30.0,2.0,1.0,1.0,Depok Kota,1,1,1,1,1
Rumah sawangan harga sudah all in semua,Pasangan Bekerja tanpa Anak,0.8,Rumah,66.0,45.0,2.0,1.0,1.0,Depok Kota,0,1,1,1,1
"3 menit ke stasiun depok, rumah mewah bebas banjir akses mobil",Pasangan Bekerja tanpa Anak,0.8,Rumah,40.0,30.0,2.0,1.0,1.0,Depok Kota,1,1,1,1,1
rumah siap huni di dlm komplek SHM di belakang RS permata depok,Pasangan Bekerja tanpa Anak,0.8,Rumah,60.0,45.0,2.0,1.0,1.0,Depok Kota,0,1,1,0,0
Rumah Minimalis 1 Lt 23 Mnt ke RS Puri Cinere LT 75 Harga Nego J-12796,Pasangan Bekerja tanpa Anak,0.6,Rumah,75.0,50.0,2.0,1.0,1.0,Depok Kota,1,1,1,1,1
Rumah second dijual 362m²Pancoran Mas Depok,Pasangan Bekerja dengan Anak,0.8,Rumah,362.0,260.0,3.0,3.0,2.0,Depok Kota,0,0,0,0,0
"Cuma 165 jt , surat SHM , 3x bayar",Pasangan Bekerja tanpa Anak,0.6,Rumah,25.0,21.0,2.0,1.0,1.0,Depok Kota,1,1,1,1,1
Cluster Dekat Stasiun Citayam Depok Bonus Rooftop di Pinggir Jl Raya,Pasangan Bekerja tanpa Anak,0.8,Rumah,60.0,33.0,2.0,1.0,1.0,Depok Kota,0,1,1,0,0
"Cuma 165 jt , 3x bayar , surat SHM",Pasangan Bekerja tanpa Anak,0.6,Rumah,25.0,21.0,2.0,1.0,1.0,Depok Kota,1,1,1,1,1
Ready stock banyak bonusnya,Pasangan Bekerja tanpa Anak,0.8,Rumah,60.0,40.0,2.0,1.0,1.0,Depok Kota,0,0,0,0,0
Rumah anak milenial di Depok Gandaria House dekat Stasiun Depok Lama,Pasangan Bekerja tanpa Anak,0.8,Rumah,40.0,56.0,2.0,1.0,2.0,Depok Kota,0,1,1,0,0
"Cuma 165 jt , 3x bayar , surat SHM",Pasangan Bekerja tanpa Anak,0.6,Rumah,25.0,21.0,2.0,1.0,1.0,Depok Kota,1,1,1,1,1
"Cuma 165 jt , 3x bayar , surat SHM",Pasangan Bekerja tanpa Anak,0.6,Rumah,25.0,21.0,2.0,1.0,1.0,Depok Kota,1,1,1,1,1
"Cuma 165 jt , surat SHM , 3x bayar",Pasangan Bekerja tanpa Anak,0.6,Rumah,25.0,21.0,2.0,1.0,1.0,Depok Kota,1,1,1,1,1
"Cuma 165 jt , bayar 3x , surat SHM",Pasangan Bekerja tanpa Anak,0.6,Rumah,25.0,21.0,2.0,1.0,1.0,Depok Kota,1,1,1,1,1
Rumah Elit harga pertalite,Pasangan Bekerja tanpa Anak,0.8,Rumah,40.0,30.0,2.0,1.0,1.0,Depok Kota,1,1,1,1,1
Rumah Modern Asri 8 Mnt ke Mall The Park Sawangan Hadap Timur J-15880,Pasangan Bekerja dengan Anak,0.6,Rumah,112.0,109.0,3.0,2.0,2.0,Depok Kota,1,1,1,1,1
Pembelian Khusus Minggu Ini,Pasangan Bekerja tanpa Anak,0.6,Rumah,75.0,45.0,2.0,1.0,1.0,Depok Kota,0,1,1,0,1
Rumah 1 setengah lantai bayar bisa santai,Pasangan Bekerja tanpa Anak,0.8,Rumah,40.0,30.0,2.0,1.0,1.0,Depok Kota,1,1,1,1,1
Rumah 1 setengah lantai bayar bisa santai,Pasangan Bekerja tanpa Anak,0.8,Rumah,40.0,30.0,2.0,1.0,1.0,Depok Kota,1,1,1,1,1
"Bisa 4x bayar , bisa nego",Pasangan Bekerja tanpa Anak,0.8,Rumah,40.0,30.0,2.0,1.0,1.0,Depok Kota,1,1,1,1,1
Rumah 1 & 2 Lantai Di Grogol Limo Depok Termurah,Pasangan Bekerja tanpa Anak,0.6,Rumah,72.0,42.0,2.0,1.0,1.0,Depok Kota,1,1,1,0,0
Rumah LT 264 Siap Huni 8 Mnt ke The Park Sawangan Semi Furnish J-18313,Pasangan Bekerja dengan Anak,0.8,Rumah,264.0,180.0,3.0,2.0,1.0,Depok Kota,1,1,1,1,1
Rumah 2 lantai Paling Laris,Pasangan Bekerja tanpa Anak,0.6,Rumah,72.0,45.0,2.0,1.0,1.0,Depok Kota,1,1,1,0,1
Over kredit rumah cileungsi,Pasangan Bekerja tanpa Anak,0.6,Rumah,72.0,45.0,2.0,1.0,1.0,Depok Kota,0,0,0,0,0
Rumah mewah harga murah,Pasangan Bekerja tanpa Anak,0.8,Rumah,40.0,30.0,2.0,1.0,1.0,Depok Kota,1,1,1,1,1
Beli sekarang dapat diskon 15 jt,Pasangan Bekerja tanpa Anak,0.8,Rumah,40.0,30.0,2.0,1.0,1.0,Depok Kota,1,1,1,1,1
Beli sekarang dapat diskon 15 jt,Pasangan Bekerja tanpa Anak,0.8,Rumah,40.0,30.0,2.0,1.0,1.0,Depok Kota,1,1,1,1,1
"Diskon 15 jt , 3x bayar",Pasangan Bekerja tanpa Anak,0.8,Rumah,40.0,30.0,2.0,1.0,1.0,Depok Kota,1,1,1,1,1
"Cuma 165 jt , surat shm",Pasangan Bekerja tanpa Anak,0.6,Rumah,25.0,21.0,2.0,1.0,1.0,Depok Kota,1,1,1,1,1
RUMAH BARU Renov Luas 94M Harga diBAWAH NJOP siap huni Sawangan Depok,Pasangan Bekerja tanpa Anak,0.6,Rumah,94.0,45.0,2.0,1.0,1.0,Depok Kota,1,1,1,1,0
Dijual murah Rumah 2 lantai siap huni di Pancoranmas Depok,Pasangan Bekerja dengan Anak,0.4,Rumah,123.0,90.0,5.0,2.0,2.0,Depok Kota,0,0,0,0,0
Beli sekarang dapat diskon 15 jt,Pasangan Bekerja tanpa Anak,0.8,Rumah,40.0,30.0,2.0,1.0,1.0,Depok Kota,1,1,1,1,1
Rumah 1 Lt SHM 17 Mnt ke Puskesmas Bojongsari LT 72 Siap Huni J-19149,Pasangan Bekerja dengan Anak,0.4,Rumah,72.0,40.0,3.0,1.0,1.0,Depok Kota,1,1,1,0,1
Rumah Murah Baru Renov di Depok 10 Menit ke Sekolah Harga Nego J-11276,Pasangan Bekerja tanpa Anak,0.6,Rumah,80.0,45.0,2.0,1.0,1.0,Depok Kota,1,1,0,0,0
Rumah Mewah 2 Lantai dengan 3 Kamar Tidur di Sawangan Depok,Pasangan Bekerja dengan Anak,0.4,Rumah,84.0,88.0,3.0,3.0,1.0,Depok Kota,1,1,1,0,0
Rumah 3 KT Strategis di Depok 15 Mnt ke Mall SHM Semi Furnish J-17637,Pasangan Bekerja dengan Anak,0.6,Rumah,105.0,120.0,3.0,2.0,2.0,Depok Kota,1,1,1,1,1
Rumah Minimalis 25 Menit ke Puskesmas Sawangan SHM Harga Nego J-23584,Pasangan Bekerja dengan Anak,0.6,Rumah,90.0,120.0,3.0,2.0,2.0,Depok Kota,1,0,1,0,1
DIJUAL RUMAH BARU DEPOK,Pasangan Bekerja dengan Anak,0.4,Rumah,70.0,137.0,3.0,3.0,1.0,Depok Kota,0,0,0,0,0
Rumah Seken Terawat 17 Menit ke RS Brawijaya Depok Dibantu KPR J-19149,Pasangan Bekerja dengan Anak,0.4,Rumah,72.0,40.0,3.0,1.0,1.0,Depok Kota,1,1,1,0,1
Rumah Strategis 14 Mnt ke SMAN 6 Depok Siap Huni Harga Nego J-19149,Pasangan Bekerja dengan Anak,0.4,Rumah,72.0,40.0,3.0,1.0,1.0,Depok Kota,1,1,1,0,1
Harga Khusus Di Minggu Ini,Pasangan Bekerja tanpa Anak,0.6,Rumah,75.0,45.0,2.0,1.0,1.0,Depok Kota,0,1,1,0,1
Rumah Siap Huni 2 Lantai Di Sawangan Depok Dekat Tangerang Selatan,Pasangan Bekerja dengan Anak,0.6,Rumah,96.0,76.0,3.0,2.0,2.0,Depok Kota,0,1,1,0,1
Posisinya Di Depan - Unit Siap Huni,Pasangan Bekerja tanpa Anak,0.8,Rumah,60.0,45.0,2.0,1.0,1.0,Depok Kota,0,1,1,0,1
Rumah Strategis 23 Mnt ke RSU Brawijaya Sawangan Dibantu KPR J-13608,Pasangan Bekerja tanpa Anak,0.6,Rumah,146.0,45.0,2.0,1.0,1.0,Depok Kota,1,1,1,1,1
Rumah Baru Renov Dekat Gerbang Toll Limo 1 Bebas Biaya Biaya J-23676,Pasangan Bekerja dengan Anak,0.6,Rumah,160.0,185.0,3.0,2.0,2.0,Depok Kota,1,1,1,1,0
